entorno,nombre,etapa,tipo,area_responsable,descripcion,monto_contrato,comuna,barrio,direccion,fecha_inicio,fecha_fin_inicial,plazo_meses,porcentaje_avance,licitacion_oferta_empresa,licitacion_anio,contratacion_tipo,nro_contratacion,cuit_contratista,mano_obra,destacada,expediente_numero,financiamiento
Plan 54 escuelas,"Escuela de Educación Primaria N.° 24 D.E. 15 ""Francisco Morazán"" - Siglo XXI",Finalizada,Escuelas,Ministerio de Educación,Primaria,"$ 67.065.700,00",12,Villa Urquiza,"RIVERA, PEDRO I., DR. 4221",1/12/2013,31/5/2016,29,100,Criba S.A.,2013,Licitación Pública,2030-MDUGC-2013,30505454436,0,SI,914412-MDUGC-2013,Desconocido
Donado Holmberg,Calle Holmberg: Nivelación en cruce,Finalizada,Espacio Público,Secretarí­a de Transporte y Obras Públicas,"En el marco del proyecto urbano del Barrio Parque Donado Holmberg, se creó un parque lineal planteado como un recorrido que incluyó pequeñas plazas y generó continuidad fí­sica y espacial a lo largo de toda su traza, mediante la nivelación de los cruces en las intersecciones del par Holmberg y Donado con las calles Tomás le Bretón, Pedro Ignacio Iivera, Blanco Encalada, Mendoza, Virrey del Pino y Carbajal.","$ 9.950.017,00",12,Villa Urquiza,HOLMBERG Y OLAZABAL AV.,16/3/2015,15/7/2016,16,100,Altote S.A,2014,Licitación Pública,957/2014,30707431896,16,Desconocido,5515928/2014,Desconocido
Área Ambiental Central,Área Ambiental Central: Calles Alsina Y Moreno,Finalizada,Espacio Público,Secretarí­a de Transporte y Obras Públicas,"Se intervinieron los tramos comprendidos entre la Av. Presidente Julio Argentino Roca y la calle Defensa, realizando obras de nivelación, colocación de dársenas de carga y descarga, nuevas luminarias y se reemplazó el pavimiento por el granitullo para recuperar el aspecto tradicional de la calle.","$ 36.942.632,00",1,Montserrat,"ALSINA, ADOLFO E IRIGOYEN, BERNARDO DE",12/1/2016,15/11/2017,22,100,Rol Ingenieria S.A,2016,Licitación Pública,640-SIGAF/16,30578447659,55,Desconocido,0,Desconocido
Área Ambiental Central,Área Ambiental Central: Calle Esmeralda I,Finalizada,Espacio Público,Secretarí­a de Transporte y Obras Públicas,"La obra incluyó el tramo ubicado entre la Av. Santa Fe y la Av. de Mayo en donde se realizaron obras de nivelación con el objetivo de dejar un carril central para tránsito liviano, restringiendo el paso de colectivos. Además, se intalarón nuevas luminarias y se plantarón árboles.","$ 26.938.294,00",1,San Nicolás,ESMERALDA Y CORRIENTES AV.,27/10/2014,28/2/2017,28,100,Dal Construcciones S.A,2014,Licitación Pública,305/2014,30604370171,59,Desconocido,0,Desconocido
Villa Olí­mpica,Villa Olí­mpica: Viviendas II,Finalizada,Vivienda,Secretarí­a de Transporte y Obras Públicas,La segunda licitación comprendió la construcción de 3 edificios con una superficie aproximada de 13.000m2 destinados a vivienda y 470m2 que fueron destinados a locales comerciales.,"$ 148.823.367,00",8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",15/2/2016,30/8/2017,18,100,EMACO SA - CONSTRUCTORA LANUSSE SA -UTE,2015,Licitación Pública,115/2015,30714969362,0,SI,16.821.753-0GPUYAJ2014,Desconocido
Villa Olí­mpica,Villa Olí­mpica: Viviendas III,Finalizada,Vivienda,Secretarí­a de Transporte y Obras Públicas,El tercer conjunto licitado comprendió la construcción de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 370m2 que fueron destinados a locales comerciales.,"$ 179.192.366,00",8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",25/2/2016,15/10/2017,20,100,Bricons S.A.I.C.F.I.,2015,Licitación Pública,329-329-MDUGC-2015,30541068151,0,Desconocido,1026045-1026045-DGPUYA-2015,Desconocido
Villa Olí­mpica,Villa Olí­mpica: Viviendas IV,Finalizada,Vivienda,Secretarí­a de Transporte y Obras Públicas,La cuarta licitación comprendió la construcción de 3 edificios con una superficie de aproximada de 14.050m2 destinados a vivienda y 380m2 que fueron destinados a locales comerciales.,"$ 163.279.322,00",8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",15/2/2016,30/8/2017,18,100,Dycasa S.A.,2015,Licitación Pública,395/2015,33516294189,0,Desconocido,2.163.614-MGEYA-DGPUYA-2015,Desconocido
Villa Olí­mpica,Villa Olí­mpica: Viviendas IX,Finalizada,Vivienda,Secretarí­a de Transporte y Obras Públicas,La licitación Nº 9 contempló la construcción de 3 edificios con una superficie aproximada de 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.,"$ 137.837.183,00",8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",28/3/2016,15/2/2018,23,100,Criba S.A.,2015,Licitación Pública,580/2015,30505454436,0,Desconocido,12.809.363-MGEYA-DGPUYA-2015,Desconocido
Villa Olí­mpica,Villa Olí­mpica: Viviendas V,Finalizada,Vivienda,Secretarí­a de Transporte y Obras Públicas,La licitación Nº 5 contempló la construcción de 3 edificios con una superficie aproximada de 13.000m2 que fueron destinados a vivienda y 230m2 que fueron destinados a locales comerciales.,"$ 166.503.404,00",8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",15/3/2016,30/9/2017,18,100,Dycasa S.A.,2015,Licitación Pública,396/2015,33516294189,0,Desconocido,2.254.226-MGEYA-DGPUYA-2015,Desconocido
Villa Olí­mpica,Villa Olí­mpica: Viviendas VI,Finalizada,Vivienda,Secretarí­a de Transporte y Obras Públicas,La licitación Nº 6 contempló la construcción de 3 edificios con una superficie aproximada de 11.700m2 que fueron destinados a vivienda y 430m2 que fueron destinados a locales comerciales.,"$ 160.833.300,00",8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",15/2/2016,30/8/2017,18,100,Criba S.A.,2015,Licitación Pública,450/2015,30505454436,0,Desconocido,EX-2015-03683859- -MGEYA-DGPUYA,Desconocido
Villa Olí­mpica,Villa Olí­mpica: Viviendas VII,Finalizada,Vivienda,Secretarí­a de Transporte y Obras Públicas,La licitación Nº 7 contempló la construcción de aproximadamente 9.900m2 que fueron destinados a vivienda y 250m2 que fueron destinados a locales comerciales.,"$ 123.691.183,00",8,Villa Lugano,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",25/2/2016,31/10/2017,20,100,Cunumi S.A,2015,Licitación Pública,449/2015,30615748036,0,Desconocido,7.482.410-MGEYA-DGPUYA-2015,Desconocido
